v1,date,year,month,price,volumn,train,year_month,y_m,lnp,lag1lnp,newlnp,train_p,test_p,y_hat
222,2017-07,2017,7,20,14697.1,1,2017-07,2017m7,2.9957323,2.4595888,-.53614354,,-.53614354,-.0045610457
223,2017-08,2017,8,12.9,29048.699,1,2017-08,2017m8,2.5572274,2.9957323,.43850493,,.43850493,.00172951
224,2017-09,2017,9,16.6,15533.2,1,2017-09,2017m9,2.8094027,2.5572274,-.25217533,,-.25217533,-.0042134733
225,2017-10,2017,10,13.3,11279.6,1,2017-10,2017m10,2.587764,2.8094027,.22163868,,.22163868,.0013776589
226,2017-11,2017,11,14,2430.6001,1,2017-11,2017m11,2.6390574,2.587764,-.051293373,,-.051293373,-.0038923519
227,2017-12,2017,12,10.6,1268.6,1,2017-12,2017m12,2.3608541,2.6390574,.27820325,,.27820325,.001072531
228,2018-01,2018,1,10.6,1268.6,1,2018-01,2018m1,2.3608541,2.3608541,0,,0,-.0036053564
229,2018-02,2018,2,10.6,1268.6,1,2018-02,2018m2,2.3608541,2.3608541,0,,0,.00080198701
230,2018-03,2018,3,23.299999,8831.7998,1,2018-03,2018m3,3.1484532,2.3608541,-.78759909,,-.78759909,-.0033505044
231,2018-04,2018,4,10.8,38365,1,2018-04,2018m4,2.3795462,3.1484532,.76890707,,.76890707,.00056186086
232,2018-05,2018,5,12.2,19975.699,1,2018-05,2018m5,2.501436,2.3795462,-.12188983,,-.12188983,-.0031242666
233,2018-06,2018,6,13.8,14960.2,1,2018-06,2018m6,2.6246686,2.501436,-.1232326,,-.1232326,.00034870478
234,2018-07,2018,7,17.6,14343.2,1,2018-07,2018m7,2.8678989,2.6246686,-.24323034,,-.24323034,-.0029234367
235,2018-08,2018,8,12.7,21482.301,1,2018-08,2018m8,2.5416019,2.8678989,.32629704,,.32629704,.00015948821
236,2018-09,2018,9,11.5,10128.6,1,2018-09,2018m9,2.442347,2.5416019,.099254847,,.099254847,-.002745162
237,2018-10,2018,10,12.7,4805.1001,1,2018-10,2018m10,2.5416019,2.442347,-.099254847,,-.099254847,-8.4776075e-06
238,2018-11,2018,11,8.5,4665.5,1,2018-11,2018m11,2.1400661,2.5416019,.40153575,,.40153575,-.0025869089
239,2018-12,2018,12,8.6999998,821.40002,1,2018-12,2018m12,2.1633229,2.1400661,-.023256779,,-.023256779,-.00015757933
240,2019-01,2019,1,8.6999998,821.40002,1,2019-01,2019m1,2.1633229,2.1633229,0,,0,-.0024464293
241,2019-02,2019,2,11.3,5553.2998,1,2019-02,2019m2,2.4248028,2.1633229,-.26147985,,-.26147985,-.00028993556
242,2019-03,2019,3,8.8999996,9625.9004,1,2019-03,2019m3,2.1860511,2.4248028,.23875165,,.23875165,-.0023217269
243,2019-04,2019,4,14.9,13723.7,1,2019-04,2019m4,2.7013612,2.1860511,-.51531005,,-.51531005,-.00040742697
244,2019-05,2019,5,15.3,12717.2,1,2019-05,2019m5,2.7278528,2.7013612,-.026491642,,-.026491642,-.0022110294
245,2019-06,2019,6,16.1,11395.4,1,2019-06,2019m6,2.7788193,2.7278528,-.050966501,,-.050966501,-.00051172305
246,2019-07,2019,7,14.4,17597.9,1,2019-07,2019m7,2.6672282,2.7788193,.1115911,,.1115911,-.0021127644
247,2019-08,2019,8,14.8,15618.3,1,2019-08,2019m8,2.6946273,2.6672282,-.027399063,,-.027399063,-.00060430571
248,2019-09,2019,9,22.799999,3924.3,1,2019-09,2019m9,3.1267605,2.6946273,-.4321332,,-.4321332,-.0020255356
249,2019-10,2019,10,16.9,8380.7002,1,2019-10,2019m10,2.8273137,3.1267605,.29944682,,.29944682,-.0006864905
250,2019-11,2019,11,15.1,981.70001,1,2019-11,2019m11,2.7146947,2.8273137,.11261892,,.11261892,-.0019481032
251,2019-12,2019,12,14.3,1166.3,1,2019-12,2019m12,2.6602595,2.7146947,.054435253,,.054435253,-.00075944513
